"senator_name","start_date","end_date","description","amount","salary_flag","State","St.Abrv","Party"
"A. MITCHELL MCCONNELL, JR.",2020-07-18,2020-07-24,"STAFF TRANSPORTATION",601.8,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-07-01,2020-07-01,"SENATOR'S TRANSPORTATION + AIRFARE FOR SEN MCCONNELL LOUISVILLE TO PADUCAH AND RETURN",2000,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-07-01,2020-07-30,"STAFF TRANSPORTATION",773.92,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-07-02,2020-07-23,"STAFF TRANSPORTATION",52.08,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-07-09,2020-07-31,"STAFF TRANSPORTATION",46.48,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-07-01,2020-07-31,"STAFF TRANSPORTATION",2080.4,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-07-13,2020-07-29,"STAFF TRANSPORTATION",221.76,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-07-02,2020-07-28,"STAFF TRANSPORTATION",56.56,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-07-01,2020-07-31,"STAFF TRANSPORTATION",120.4,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-07-07,2020-07-20,"STAFF TRANSPORTATION",42.56,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-07-06,2020-07-29,"STAFF TRANSPORTATION",243.04,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-07-22,2020-07-22,"STAFF TRANSPORTATION",3.92,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-07-16,2020-07-29,"STAFF TRANSPORTATION",8.4,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-07-01,2020-07-30,"STAFF TRANSPORTATION",910,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-07-17,2020-08-29,"SENATOR'S TRANSPORTATION + AIRFARE FOR THE FOLLOWING: 7/17 SEN MCCONNELL WASHINGTON DC TO LOUISVILLE; 7/20, 8/2 + LOUISVILLE TO WASHINGTON DC; 8/27-29 E STRIMER WASHINGTON DC TO LOUISVILLE AND + RETURN",675.3,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-07-17,2020-08-29,"STAFF TRANSPORTATION",260.2,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-07-13,2020-07-28,"STAFF TRANSPORTATION",99.68,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-07-14,2020-07-29,"STAFF TRANSPORTATION",280.56,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-07-13,2020-07-14,"PER DIEM",189.08,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-07-13,2020-07-14,"STAFF TRANSPORTATION",25,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-08-03,2020-08-28,"STAFF TRANSPORTATION",528.08,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-08-04,2020-08-28,"STAFF TRANSPORTATION",34.72,1,"Kentucky","KY","R"
